city,distance_val.x,avg_2023,distance_val.y,slope,t_stat,p_value,not_positive,less_five,persisters
Auckland,40,-15.240035921061105,40,-0.041101836598584525,-2.5318378901875347,0.0391277375070502,1,1,1
Basel,40,-31.58813308130179,40,-0.07664865404736909,-2.9138411661429644,0.022536855074766275,1,1,1
Bertrange,40,-50.61101518076865,40,-0.15677990294783267,-5.175686515440579,0.0012869908887352959,1,1,1
Brasilia,40,-35.937187761671325,40,-0.02758665389353937,-2.8768831048220376,0.023757141247077167,1,1,1
Bratislava,40,-44.46327402196364,40,-0.07014787207360441,-3.017310865784391,0.01946008161142774,1,1,1
Brest,40,-114.21284418309507,40,-0.2557660597586289,-5.275049164120834,0.0011542564763982119,1,1,1
Brisbane,40,-27.166770088222655,40,0.01882022342251937,0.765333583867444,0.469085984662172,1,1,1
Bucharest,40,-45.41049384561476,40,-0.06499382070825356,-2.2503791034626537,0.05916502273726734,1,1,1
Cairo,40,-17.173520035686334,40,-0.0033580991164676092,-0.5117066143421584,0.6245991213130073,1,1,1
Calgary,40,-22.038322898140855,40,-0.046758285168368746,-1.9274324022408917,0.09528176838796389,1,1,1
Celje,40,-44.63007531154249,40,-0.1304684874628107,-6.420198268957726,3.6029954068803884e-4,1,1,1
Chisinau,40,-96.64984583948332,40,-0.13613878887565012,-4.648084780765398,0.0023471560126543953,1,1,1
Cluj-Napoca,40,-56.47673880301091,40,-0.11045523550794976,-2.7100336001544383,0.030197546126596527,1,1,1
Cologne,40,-14.19839367389829,40,-0.010084911427498162,-0.8311919281397453,0.43329872566258487,1,1,1
Concepcion,40,-88.8421300803757,40,0.0817594651186913,0.4263085626611103,0.6826860501128329,1,1,1
Debrecen,40,-27.270718414454176,40,-0.09138538512937627,-2.5789921146242696,0.036525931201761355,1,1,1
Dublin,40,-37.771008604002155,40,-0.013991006680657427,-0.6799941882495272,0.5183568822791681,1,1,1
Edmonton,40,-20.3482832319861,40,-0.07941199995689736,-3.3494181170597535,0.012260522162214366,1,1,1
Faro,40,-25.89287718682735,40,-0.16978708568170103,-2.8659817710524997,0.02413024874804982,1,1,1
Glasgow,40,-38.2918652320358,40,-0.03460122057259019,-1.15904823669185,0.28444241445713875,1,1,1
Haifa,40,-22.466705289733543,40,-0.012784402085116326,-0.5352873977137514,0.6090280083176016,1,1,1
Homyel,40,-53.64857522687519,40,-0.02212684495809786,-1.0101346974485048,0.34606552833927384,1,1,1
Houston,40,-14.879512094034835,40,-0.049002151597597535,-4.545897088063715,0.002649011563000937,1,1,1
Jerusalem,40,-19.15180671574009,40,-0.07378713517020023,-1.7868055761559096,0.11712366676134225,1,1,1
Johor Bahru,40,-22.901611111050865,40,0.007292518418504707,0.393041504154624,0.7059840618095858,1,1,1
Klaipeda,40,-60.85589874245767,40,-0.31809993928166724,-2.84483273551177,0.024871811388830645,1,1,1
Kosice,40,-24.39976393813169,40,-0.15413194946257366,-4.118991891021947,0.004465210404597968,1,1,1
Krakow,40,-19.6067692104885,40,-0.02491950441631613,-2.278947237751229,0.05672423700084596,1,1,1
London,40,-69.98494447933975,40,-0.0690595463782025,-4.53656976858466,0.0026786300029577213,1,1,1
Luxembourg,40,-21.879374642832765,40,-0.07130827405458634,-3.267344504474073,0.013724527118352455,1,1,1
Manama,40,-18.563001534990367,40,-0.04552540231853558,-1.2763205451441462,0.24255377397236452,1,1,1
Manchester,40,-16.617820381321064,40,-0.021839299674813014,-1.071090032318991,0.3196630740531152,1,1,1
Maribor,40,-37.80010691532737,40,-0.025874329918762616,-1.1001991280187915,0.30763523613913507,1,1,1
Melbourne,40,-26.931575282157866,40,0.018929133452928182,1.1498743921205568,0.2879601698625273,1,1,1
Odense,40,-45.44479496920453,40,-0.2887727781321987,-3.152273994291337,0.016100890681931983,1,1,1
Ostrava,40,-33.160598597675566,40,-0.09446102107964943,-5.210599407512102,0.0012385092067553594,1,1,1
Palma,40,-34.46091854186811,40,-0.5675288950379537,-5.0159357325280265,0.0015374597156567415,1,1,1
Rijeka,40,-65.85794179405202,40,-0.30842263429778466,-3.8457146095411385,0.006327482457147558,1,1,1
Sarajevo,40,-27.80656005084601,40,-0.06299139325408198,-2.265879896493383,0.057827758830976225,1,1,1
Skopje,40,-95.68240220193182,40,-0.2626286710674926,-2.07639744142722,0.07649089518434454,1,1,1
Stockholm,40,-16.15826637114482,40,-0.03604356425293024,-1.77397020789001,0.1193420681502343,1,1,1
Sydney,40,-29.580803402726644,40,0.006948783197397168,0.4431671891962811,0.6710174703788258,1,1,1
Tel Aviv-Yafo,40,-21.247814608609872,40,0.03814564749444411,0.863294483761742,0.41657116251635407,1,1,1
Timisoara,40,-54.45613960472167,40,-0.17051122721554715,-2.848823048345274,0.024730080797572555,1,1,1
Vilnius,40,-34.40584417764668,40,-0.10722605659221679,-2.9575556486989285,0.02117841411544778,1,1,1
Vina del Mar,40,-636.063100029943,40,0.6075968953143989,1.8232624614780555,0.11103646344237225,1,1,1
Warsaw,40,-19.089480771827922,40,0.004026058580386804,0.25271058519101447,0.8077521620553183,1,1,1
Wellington,40,-18.998855053249624,40,-0.01345596649466879,-0.5206043656427163,0.6186988584803997,1,1,1
Wroclaw,40,-14.542909127694033,40,-0.023515354261525387,-2.2791030010224076,0.05671121253626519,1,1,1
Zagreb,40,-14.044348130145837,40,-0.10578880253939693,-2.6839108629134425,0.03136107984902864,1,1,1
Zilina,40,-32.60335304352016,40,-0.027928934253955557,-1.3338616197081241,0.22401096500863166,1,1,1
Zurich,40,-24.72807271920561,40,-0.054051482803882854,-3.966051330493611,0.005419577386762353,1,1,1
'S-Gravenhage,40,-7.060542411863107,40,-0.02341788695018684,-2.393739763521106,0.04790479307275689,1,0,0
Aarhus,40,15.643567006652283,40,0.09877524244739933,1.9104971743466415,0.09768609934730374,0,0,0
Amsterdam,40,17.4985812510291,40,0.01886494084873437,0.93529358691957,0.3807712338124014,1,0,0
Antwerp,40,18.36648150050092,40,0.0017374675137673495,0.09457928030427022,0.9272994161898009,1,0,0
Athens,40,12.078398303387091,40,-0.010603662148025985,-0.3594139872833044,0.7298830981650954,1,0,0
Barcelona,40,24.765561456181967,40,-0.13290976447218114,-1.8330130419801873,0.10946076237718433,1,0,0
Beirut,40,6.843758416658279,40,0.028780048418199825,3.7376399379485146,0.007285289102910191,0,0,0
Belgrade,40,-0.33440740488007537,40,-0.037077641734292656,-1.623713091044976,0.14846590123037626,1,0,0
Berlin,40,-10.103406748324469,40,0.00709089662406872,0.36379923535727426,0.7267474742299064,1,0,0
Brno,40,-9.757432925420204,40,-0.09491053401468895,-3.338558666722738,0.012444216014384859,1,0,0
Brussels,40,23.130439877185978,40,-0.047343119876552195,-2.6752498028472216,0.03175710613326905,1,0,0
Budapest,40,-12.88886420116079,40,-0.027999181138580024,-1.7637604361479429,0.12113533907112656,1,0,0
Copenhagen,40,44.47560155561914,40,0.31329818176818874,6.323336850284314,3.9520008434862987e-4,0,0,0
Cork,40,-12.221743259516906,40,-0.1595447204879843,-5.53483316004829,8.737681704076718e-4,1,0,0
Dhaka,40,-49.2180499377671,40,0.09102423442417405,1.9279272606874724,0.09521238881880646,0,1,0
Galway,40,14.985811806220363,40,0.0866354169536879,4.389890820783375,0.003195824236696351,0,0,0
Geneva,40,48.415762531046525,40,0.09238518529107541,2.051234130339451,0.07938565561691777,0,0,0
Gent,40,11.310223323604031,40,-0.01425742924924762,-0.639832731991655,0.5426471495490064,1,0,0
Giza,40,1.0723997902125948,40,0.02355083227528983,1.3286767618013704,0.2256296452861348,1,0,0
Graz,40,-6.522000912777195,40,-0.07011050775109813,-3.4746761010405285,0.01034034448259376,1,0,0
Gyor,40,25.795115466224512,40,3.789233655829608e-4,0.018700128080384803,0.9856021801288198,1,0,0
Helsinki,40,-12.669710997491102,40,0.053946328108596536,2.4158521873886722,0.04637373376829128,0,0,0
Jakarta,40,-6.891410804075907,40,0.001578475839387991,0.24772662787967217,0.8114554403588183,1,0,0
Kaunas,40,-8.650770429835287,40,-0.09862137136144074,-2.4721946583353835,0.0426954809367822,1,0,0
Kuala Lumpur,40,-11.730768607168041,40,0.00428607840000156,0.38197436222762643,0.7138119234074138,1,0,0
Las Vegas,40,-9.714817871008515,40,0.056067642636133154,3.596706244156472,0.008778273342568333,0,0,0
Lima,40,-3.7182990887375125,40,0.0711337989250463,4.378231339995413,0.0032414307649978346,0,0,0
Lisbon,40,-2.1827894207023837,40,0.003646347571429423,0.05630038297805147,0.9566758231235036,1,0,0
Ljubljana,40,-7.790872662041367,40,-0.07761909201039265,-2.034250946775097,0.08140056222243333,1,0,0
Lyon,40,5.323017793904776,40,-0.03358878867671138,-0.6683594036139565,0.5253223958577402,1,0,0
Macau,40,-51.10691397600067,40,0.05376342565072922,2.129898572001151,0.07068078384038477,0,1,0
Madrid,40,45.186722490641266,40,0.03860203747837651,0.6345971701158124,0.5458644483991588,1,0,0
Milan,40,-2.6845465785329816,40,-0.0759340976602936,-1.560995266103518,0.16249315549426765,1,0,0
Minsk,40,-21.898617182105422,40,0.014006474635820847,3.301441628251455,0.01309472391962912,0,1,0
Monaco,40,-1.308322565386929,40,0.06959775437768798,1.4659647958155277,0.1860850647893865,1,0,0
Munich,40,-12.802007223472415,40,-0.01196665693985601,-0.5755040782146273,0.582969089227177,1,0,0
Nairobi,40,-3.2298954606428896,40,-0.004770940724526329,-0.1884917451914753,0.8558393525068346,1,0,0
New York,40,-9.097215975967032,40,-0.027752877295252765,-0.9352361077574503,0.3807988677717158,1,0,0
Nice,40,-0.515831989585699,40,-0.1065459071554674,-1.0079077149314621,0.34706161940403396,1,0,0
Novi Sad,40,13.408886447452673,40,-0.02893587126485967,-1.8151985693230308,0.11235609521750298,1,0,0
Oslo,40,6.711732243800072,40,0.059871512727913155,3.789793326418205,0.00680473489736268,0,0,0
Paris,40,19.09639711110645,40,0.005373545853954395,0.17310361631190485,0.8674690670503562,1,0,0
Petaling Jaya,40,4.509979464504534,40,0.04766427313276376,2.3760110229585036,0.049169650303234134,0,0,0
Podgorica,40,3.804268538224936,40,-0.30938253850701253,-2.211842701705594,0.06262668514849937,1,0,0
Porto,40,0.5184208999025001,40,0.091984483509981535,0.9654343588493915,0.3664882176758065,1,0,0
Prague,40,-11.44361727481311,40,0.0336643386678843,3.5336510560039627,0.009550887577595478,0,0,0
Reykjavik,40,-2.4097922355768233,40,-0.031397947204973305,-1.2461071822824177,0.25280980203245446,1,0,0
Rodos,40,-1.8413206348852893,40,-0.33952641744460293,-4.736773902951856,0.0021158011087988892,1,0,0
Rome,40,-12.524377939641752,40,-0.04444650285666232,-0.806797479264302,0.4463247234576194,1,0,0
Rotterdam,40,-0.4854772254018655,40,-0.03738845651238643,-4.349849897075078,0.0033554684775548896,1,0,0
Salzburg,40,-8.405985525555653,40,0.3249909653618197,2.9616241704247526,0.02105646548032664,0,0,0
Santiago,40,69.97824120790854,40,-0.29704316759113186,-2.321048546121665,0.05331205916064645,1,0,0
Split,40,-1.8120153415690452,40,-0.33438424943595496,-2.555382476983156,0.037805459783713254,1,0,0
Stavanger,40,5.774961620588381,40,0.06252682729941708,2.821431971445809,0.02572036400865131,0,0,0
Tampere,40,-10.954887179098085,40,-0.09960735118011789,-2.2877832985368234,0.055990166338169466,1,0,0
Thessaloniki,40,-9.167048683868751,40,-0.3136142660847804,-3.0180532432734526,0.019439687555811824,1,0,0
Toronto,40,-17.141933361977344,40,0.03142801394726081,2.1210783796848167,0.07160738089207594,0,1,0
Trondheim,40,4.994639233359003,40,-6.60554502177363e-4,-0.023407029564716738,0.9819788681138819,1,0,0
Turin,40,2.2156278908824665,40,-0.09648373005085878,-2.008383621252736,0.08456715382949191,1,0,0
Turku,40,-1.915400219209362,40,-0.00952378382814336,-0.1800990019909215,0.862177685295358,1,0,0
Vienna,40,0.4362646299733481,40,-0.005519979600419578,-0.41961331195660845,0.6873462953402001,1,0,0
